animal_id,animal
1101,Kucing Siamese
1102,Kucing Ragdoll
1103,Kucing Persia
1104,Kucing Maine Coon
1105,Kucing Bengal
1106,Kucing American Shorthair
1107,Kucing British Shorthair
1108,Kucing Abyssinian
1109,Kucing Balinese
1110,Kucing Burma
1111,Kucing Burmilla
1112,Kucing Chinchilla
1113,Kucing Cornish Rex
1114,Kucing Devon Rex
1115,Kucing Moggie
1116,Kucing Exotic Shorthiar
1117,Kucing Japanese Bobtail
1118,Kucing korat
1119,Kucing Manx
1120,Kucing Hutan Norwegia
1121,Kucing Ocicat
1122,Kucing Oriental Shorthair
1123,Kucing Biru Rusia
1124,Kucing Scottish Fold
1125,Kucing Siberia
1126,Kucing Singapura
1127,Kucing Snowshoe
1128,Kucing Somali
1129,Kucing Sphinx
1130,Kucing Tiffanie
1131,Kucing Tonkinese
1132,Kucing Turkish Van
1133,Burung Cucak Rowo
1134,Burung Murai Batu
1135,Burung Cucak Ijo
1136,Burung Kacer
1137,Burung Jalak Suren
1138,Burung Trucukan
1139,Burung Pleci
1140,Burung Kolibri Ninja
1141,Burung Ciblek
1142,Burung Kenari
1143,Burung Lovebird
1144,Burung Cendet
1145,Burung Tledekan Gunung
1146,Burung Anis Merah
1147,Burung Cucak Jenggot
1148,Burung Kapas Tembak
1149,Burung Kepodang
1150,Burung Perkutut
1151,Kelinci Himalaya
1152,Kelinci Anggora
1153,Kelinci Dwarf
1154,Kelinci Dutch
1155,Kelinci Chinchilla
1156,Kelinci Flemish Giant
1157,Kelinci French Lop
1158,Kelinci Havana
1159,Kelinci Holland Lop
1160,Kelinci Rex
1161,Kelinci Mini Rex
1162,Kelinci Palomino
1163,Kelinci English Lop
1164,Hamster Roborovski
1165,Hamster Campbell
1166,Hamster Winter White
1167,Hamster Syrian
1168,Hamster Dwarf Campbells
1169,Hamster Panda
1170,Hamster Satin
1171,Burung Kakatua
1172,Burung Beo
1173,Burung Kutilang
1174,Kucing Anggora
1175,Anjing Bolognese
1176,Anjing Continental Toy Spaniel
1177,Anjing Petit Brabancon
1178,Anjing Australian Silky Terrier
1179,Anjing Chinese Crested
1180,Anjing English Toy Terrier
1181,Anjing Japanese Chin
1182,Anjing Maltese
1183,Anjing Affenpinscher
1184,Anjing Braque 'Auvergne
1185,Anjing Japanese Terrier
1186,Anjing Welsh Terrier
1187,Anjing Australian Terrier
1188,Anjing Basset Fauve de Bretagne
1189,Anjing Bedlington Terrier
1190,Anjing Boston Terrier
1191,Anjing Border Terrier
1192,Anjing Bull Terrier
1193,Anjing Cairn Terrier
1194,Anjing Cavalier King Charles Spaniel
1195,Anjing Cesky Terrier
1196,Anjing Siberian Husky
1197,Anjing Airedale Terrier
1198,Anjing Alaskan Malamute
1199,Anjing Alpine Dachsbracke
1200,Anjing Bulldog
1201,Anjing American Foxhound
1202,Anjing Golden Retriever
1203,Anjing Akita
1204,Anjing Air Friesland
1205,Anjing Basenji
1206,Anjing Clumber Spaniel
1207,Anjing Dogo Canario
1208,Anjing Pomeranian
1209,Anjing Podle
1210,Anjing Shih Tzu
1211,Anjing Chihuahua
1212,Anjing Yorkshire
1213,Anjing Beagle
1214,Anjing Pug 
1215,Anjing Corgi